iter	Passed	Remaining
0	19	19105
1	201	100559
2	292	97045
3	466	116274
4	524	104326
5	688	113980
6	885	125595
7	999	123880
8	1017	112068
9	1167	115601
10	1246	112081
11	1421	116998
12	1571	119325
13	1683	118588
14	1785	117249
15	1881	115703
16	2003	115860
17	2095	114327
18	2234	115364
19	2316	113503
20	2381	111012
21	2458	109288
22	2559	108713
23	2688	109349
24	2796	109063
25	2924	109546
26	2972	107105
27	3076	106809
28	3187	106718
29	3307	106955
30	3392	106048
31	3524	106609
32	3562	104393
33	3631	103165
34	3702	102087
35	3758	100635
36	3851	100249
37	3885	98359
38	3943	97164
39	3981	95563
40	4049	94717
41	4067	92788
42	4150	92378
43	4193	91108
44	4256	90340
45	4296	89105
46	4351	88233
47	4421	87697
48	4490	87144
49	4537	86204
50	4567	84982
51	4608	84007
52	4690	83812
53	4763	83441
54	4844	83244
55	4918	82918
56	4956	82006
57	4998	81176
58	5048	80524
59	5070	79433
60	5147	79241
61	5203	78730
62	5248	78060
63	5278	77195
64	5325	76606
65	5362	75892
66	5395	75138
67	5421	74307
68	5464	73728
69	5492	72974
70	5554	72675
71	5590	72053
72	5659	71862
73	5705	71395
74	5761	71061
75	5815	70708
76	5921	70981
77	6019	71158
78	6084	70930
79	6158	70822
80	6216	70529
81	6282	70337
82	6326	69893
83	6356	69317
84	6423	69147
85	6459	68648
86	6506	68280
87	6550	67882
88	6590	67460
89	6636	67105
90	6715	67079
91	6742	66546
92	6785	66175
93	6845	65982
94	6903	65764
95	6956	65511
96	7016	65315
97	7069	65066
98	7119	64795
99	7173	64560
100	7230	64360
101	7256	63889
102	7281	63412
103	7315	63024
104	7353	62676
105	7392	62345
106	7428	61998
107	7466	61669
108	7500	61315
109	7536	60976
110	7565	60592
111	7603	60281
112	7633	59920
113	7663	59557
114	7697	59238
115	7757	59117
116	7786	58762
117	7813	58402
118	7846	58088
119	7881	57797
120	7915	57504
121	7953	57242
122	7986	56943
123	8016	56634
124	8050	56354
125	8087	56100
126	8118	55809
127	8156	55567
128	8184	55264
129	8203	54897
130	8242	54674
131	8274	54413
132	8303	54130
133	8336	53877
134	8367	53614
135	8405	53402
136	8438	53157
137	8478	52960
138	8516	52751
139	8553	52544
140	8589	52327
141	8629	52143
142	8661	51910
143	8697	51699
144	8735	51508
145	8769	51295
146	8806	51102
147	8839	50885
148	8871	50668
149	8896	50412
150	8929	50206
151	8965	50016
152	8997	49809
153	9030	49609
154	9061	49402
155	9095	49207
156	9127	49008
157	9151	48770
158	9184	48578
159	9214	48374
160	9247	48192
161	9277	47992
162	9309	47805
163	9342	47623
164	9368	47411
165	9404	47251
166	9438	47081
167	9475	46927
168	9509	46760
169	9543	46594
170	9574	46416
171	9603	46229
172	9635	46063
173	9668	45896
174	9696	45712
175	9728	45549
176	9759	45378
177	9793	45225
178	9826	45069
179	9857	44905
180	9871	44668
181	9896	44479
182	9917	44275
183	9952	44135
184	9989	44006
185	10025	43873
186	10060	43737
187	10077	43524
188	10097	43327
189	10118	43137
190	10141	42955
191	10177	42828
192	10209	42689
193	10245	42564
194	10276	42422
195	10309	42290
196	10342	42158
197	10359	41959
198	10390	41824
199	10425	41703
200	10460	41580
201	10495	41461
202	10531	41346
203	10569	41242
204	10607	41137
205	10646	41037
206	10685	40936
207	10724	40835
208	10761	40728
209	10794	40607
210	10818	40454
211	10846	40314
212	10875	40184
213	10908	40066
214	10937	39934
215	10959	39778
216	10994	39671
217	11030	39568
218	11063	39456
219	11103	39368
220	11127	39223
221	11163	39121
222	11200	39026
223	11234	38921
224	11264	38799
225	11301	38703
226	11333	38594
227	11364	38479
228	11390	38350
229	11417	38222
230	11448	38112
231	11483	38012
232	11511	37893
233	11541	37781
234	11575	37680
235	11602	37560
236	11632	37450
237	11670	37364
238	11708	37282
239	11734	37159
240	11770	37068
241	11794	36944
242	11826	36842
243	11849	36714
244	11871	36583
245	11898	36469
246	11931	36374
247	11962	36273
248	11996	36182
249	12030	36090
250	12066	36006
251	12100	35916
252	12118	35782
253	12142	35661
254	12171	35561
255	12201	35460
256	12238	35383
257	12277	35309
258	12310	35220
259	12350	35152
260	12387	35073
261	12416	34975
262	12448	34885
263	12482	34799
264	12512	34704
265	12537	34595
266	12569	34507
267	12602	34420
268	12638	34345
269	12676	34273
270	12702	34171
271	12729	34071
272	12763	33989
273	12792	33896
274	12832	33830
275	12869	33759
276	12892	33650
277	12924	33566
278	12955	33480
279	12985	33392
280	13002	33270
281	13020	33150
282	13041	33042
283	13064	32936
284	13082	32820
285	13106	32719
286	13127	32613
287	13150	32511
288	13167	32394
289	13186	32282
290	13204	32171
291	13227	32071
292	13252	31977
293	13271	31868
294	13301	31787
295	13317	31674
296	13335	31564
297	13355	31460
298	13369	31343
299	13390	31243
300	13410	31141
301	13427	31035
302	13450	30941
303	13468	30836
304	13486	30731
305	13509	30639
306	13530	30542
307	13550	30444
308	13577	30363
309	13600	30273
310	13620	30175
311	13647	30094
312	13668	30000
313	13683	29894
314	13702	29797
315	13718	29693
316	13750	29626
317	13771	29534
318	13793	29445
319	13826	29381
320	13857	29311
321	13881	29229
322	13909	29154
323	13939	29083
324	13961	28997
325	13987	28918
326	14017	28849
327	14042	28770
328	14072	28700
329	14097	28622
330	14127	28552
331	14154	28480
332	14177	28397
333	14210	28336
334	14240	28267
335	14265	28190
336	14291	28116
337	14313	28035
338	14336	27953
339	14365	27885
340	14387	27805
341	14416	27737
342	14438	27656
343	14472	27597
344	14494	27518
345	14516	27439
346	14543	27367
347	14569	27296
348	14593	27221
349	14619	27151
350	14644	27078
351	14668	27003
352	14693	26930
353	14711	26846
354	14736	26774
355	14764	26708
356	14785	26631
357	14805	26550
358	14833	26484
359	14858	26415
360	14874	26328
361	14898	26258
362	14919	26180
363	14935	26095
364	14958	26023
365	14980	25949
366	15001	25873
367	15025	25804
368	15050	25736
369	15080	25677
370	15112	25622
371	15136	25553
372	15162	25487
373	15189	25424
374	15219	25365
375	15235	25284
376	15264	25225
377	15287	25155
378	15313	25090
379	15343	25034
380	15367	24967
381	15392	24902
382	15414	24831
383	15432	24755
384	15454	24687
385	15470	24608
386	15497	24547
387	15530	24497
388	15552	24427
389	15578	24366
390	15595	24290
391	15619	24225
392	15647	24167
393	15678	24114
394	15703	24051
395	15724	23984
396	15751	23925
397	15772	23856
398	15800	23800
399	15826	23739
400	15844	23668
401	15868	23604
402	15894	23545
403	15922	23489
404	15941	23420
405	15965	23359
406	15991	23299
407	16014	23236
408	16033	23168
409	16052	23099
410	16069	23029
411	16089	22962
412	16107	22893
413	16125	22824
414	16144	22757
415	16162	22689
416	16179	22619
417	16195	22549
418	16215	22484
419	16232	22415
420	16249	22347
421	16264	22276
422	16284	22213
423	16303	22147
424	16322	22083
425	16341	22018
426	16361	21955
427	16381	21893
428	16396	21824
429	16414	21758
430	16432	21694
431	16453	21632
432	16472	21569
433	16492	21508
434	16514	21449
435	16536	21391
436	16554	21327
437	16572	21264
438	16594	21206
439	16609	21139
440	16625	21074
441	16642	21009
442	16659	20946
443	16674	20880
444	16688	20814
445	16707	20753
446	16726	20692
447	16743	20630
448	16759	20566
449	16778	20507
450	16798	20449
451	16817	20389
452	16838	20332
453	16856	20272
454	16875	20213
455	16891	20150
456	16907	20089
457	16926	20030
458	16954	19983
459	16974	19926
460	16996	19871
461	17018	19817
462	17042	19766
463	17060	19707
464	17094	19668
465	17118	19616
466	17141	19563
467	17165	19513
468	17192	19465
469	17212	19410
470	17232	19354
471	17256	19303
472	17273	19245
473	17292	19189
474	17318	19141
475	17332	19080
476	17351	19024
477	17371	18970
478	17392	18917
479	17407	18857
